Sample_Number,Sample_Name,XRF_Method,Pb,Pb_Err,As,As_Err,S_Err,Cr,Cr_Err,Fe,Fe_Err,Ni,Ni_Err,Cu,Cu_Err,Zn,Zn_Err,Ba,Ba_Err,Rb,Rb_Err,Al2O3,Al2O3_Err,Mn,Mn_Err,Sr,Sr_Err,Zr,Zr_Err
1,Autozone rear lot,Oxide3phase*,0.0068,0.001,0.0013,0.0006,0.0089,0.0115,0.0026,3.5785,0.0144,0.0038,0.0008,0.0037,0.0004,0.0068,0.0004,0.0422,0.005,0.0091,0.0005,9.8971,0.3087,0.0816,0.003,0.0088,0.0005,0.0735,0.0015
2,ESB parking lot side south,Oxide3phase*,0.0166,0.001,0.0014,0.0005,0.0096,0.0248,0.0045,3.639,0.0207,0.0048,0.0011,0.0052,0.0006,0.0132,0.0008,0.0292,0.0033,0.0065,0.0003,8.9442,0.2979,0.065,0.004,0.0095,0.0004,0.079,0.0011
3,ESB parking lot center-north,Oxide3phase*,0.1228,0.0024,0.0043,0.0012,0.0112,0.0121,0.0037,3.1171,0.0192,0.0042,0.0011,0.0067,0.0007,0.0144,0.0008,0.0259,0.0032,0.0069,0.0003,8.4107,0.2858,0.0605,0.0038,0.0114,0.0004,0.0688,0.001
4,ESB just north of 3,Oxide3phase*,0.0674,0.0019,0.0022,0.0009,0.0092,0.0115,0.0037,3.6213,0.0205,0.0033,0.0011,0.0056,0.0006,0.0088,0.0007,0.0361,0.0036,0.0091,0.0004,9.385,0.2983,0.0617,0.0038,0.0103,0.0004,0.0637,0.001
5,ESB central open lot,Oxide3phase*,0.1092,0.0023,0.0058,0.0012,0.0157,0.0106,0.0038,3.5486,0.021,0.0029,0.0011,0.0067,0.0007,0.026,0.0011,0.0256,0.0032,0.0068,0.0003,6.684,0.2636,0.085,0.0046,0.0081,0.0004,0.0608,0.001
6,ESB central 2 average,Sulfide3phase,3.36795,0.018,0.0873,0.0085,0.03835,0.03745,0.005,7.61735,0.03745,0.0157,0.00255,0.0383,0.0026,0.7127,0.00735,0.06565,0.0058,0.00475,0.0006,5.655,0.27465,0.05855,0.00495,0.01265,0.0007,0.0408,0.001
7,Tabor Ave Holy Redeemer yard,Oxide3phase*,0.0126,0.0009,0.0011,0.0005,0.0101,0.0267,0.0045,4.1101,0.022,0.0075,0.0012,0.0162,0.0009,0.0212,0.001,0.0356,0.0035,0.0086,0.0004,9.6869,0.3076,0.073,0.0042,0.0106,0.0004,0.0594,0.001
8,Hill Creek Apartments Adams Ave side,Oxide3phase*,0.0098,0.0008,0.0019,0.0004,0.0094,0.0133,0.0038,3.3753,0.0198,0.0024,0.001,0.003,0.0005,0.011,0.0007,0.0322,0.0034,0.0069,0.0003,9.2632,0.3017,0.0569,0.0037,0.0079,0.0004,0.0821,0.001
9,Composite Hill Creek Apartments,Oxide3phase*,0.0156,0.001,0.0014,0.0005,0.0104,0.0126,0.0039,3.8125,0.0212,0.0037,0.0011,0.005,0.0006,0.0144,0.0008,0.0348,0.0034,0.008,0.0003,9.8895,0.3111,0.1116,0.0049,0.0091,0.0004,0.0649,0.001
9b,Composite Resample,Oxide3phase*,0.0147,0.001,0.0012,0.0005,0.0102,0.0109,0.0038,3.6133,0.0207,0.0037,0.0011,0.0047,0.0006,0.0135,0.0008,0.0316,0.0034,0.0075,0.0003,8.6256,0.2907,0.0881,0.0045,0.0086,0.0004,0.074,0.0011
10,Hill Creek Apartments interior,Oxide3phase*,0.0222,0.0011,0.0019,0.0006,0.0099,0.0152,0.0038,3.4421,0.0201,0.0027,0.001,0.0039,0.0005,0.0166,0.0008,0.0239,0.0033,0.0055,0.0003,9.7142,0.305,0.0688,0.004,0.0074,0.0004,0.0668,0.001
